CPT_CODE,CPT_LONG_DESCRIPTION,,,
10021,FINE NEEDLE ASPIRATION; WITHOUT IMAGING GUIDANCE,,,
10022,FINE NEEDLE ASPIRATION; WITH IMAGING GUIDANCE,,,
10040,"ACNE SURGERY (EG, MARSUPIALIZATION, OPENING OR REMOVAL OF MULTIPLE MILIA, COMEDONES, CYSTS, PUSTULES)",,,
10060,"INCISION AND DRAINAGE OF ABSCESS (EG, CARBUNCLE, SUPPURATIVE HIDRADENITIS, CUTANEOUS OR SUBCUTANEOUS ABSCESS, CYST, FURUNCLE, OR PARONYCHIA); S",,,
10061,"INCISION AND DRAINAGE OF ABSCESS (EG, CARBUNCLE, SUPPURATIVE HIDRADENITIS, CUTANEOUS OR SUBCUTANEOUS ABSCESS, CYST, FURUNCLE, OR PARONYCHIA); C",,,
10080,INCISION AND DRAINAGE OF PILONIDAL CYST; SIMPLE,,,
10081,INCISION AND DRAINAGE OF PILONIDAL CYST; COMPLICATED,,,
10120,"INCISION AND REMOVAL OF FOREIGN BODY, SUBCUTANEOUS TISSUES; SIMPLE",,,
10121,"INCISION AND REMOVAL OF FOREIGN BODY, SUBCUTANEOUS TISSUES; COMPLICATED",,,
10140,"INCISION AND DRAINAGE OF HEMATOMA, SEROMA OR FLUID COLLECTION",,,
10160,"PUNCTURE ASPIRATION OF ABSCESS, HEMATOMA, BULLA, OR CYST",,,
10180,"INCISION AND DRAINAGE, COMPLEX, POSTOPERATIVE WOUND INFECTION",,,
11000,DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR INFECTED SKIN; UP TO 10% OF BODY SURFACE,,,
11001,DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR INFECTED SKIN; EACH ADDITIONAL 10% OF THE BODY SURFACE (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY,,,
11010,DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIAL ASSOCIATED WITH OPEN FRACTURE(S) AND/OR DISLOCATION(S); SKIN AND SUBCUTANEOUS TISSUES,,,
11011,"DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIAL ASSOCIATED WITH OPEN FRACTURE(S) AND/OR DISLOCATION(S); SKIN, SUBCUTANEOUS TISSUES, MUSCLE FA",,,
11012,"DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN MATERIAL ASSOCIATED WITH OPEN FRACTURE(S) AND/OR DISLOCATION(S); SKIN, SUBCUTANEOUS TISSUES, MUSCLE FA",,,
11040,"DEBRIDEMENT; SKIN, PARTIAL THICKNESS",,,
11041,"DEBRIDEMENT; SKIN, FULL THICKNESS",,,
11042,"DEBRIDEMENT; SKIN, AND SUBCUTANEOUS TISSUE",,,
11043,"DEBRIDEMENT; SKIN, SUBCUTANEOUS TISSUE, AND MUSCLE",,,
11044,"DEBRIDEMENT; SKIN, SUBCUTANEOUS TISSUE, MUSCLE, AND BONE",,,
11055,"PARING OR CUTTING OF BENIGN HYPERKERATOTIC LESION (EG, CORN OR CALLUS); SINGLE LESION",,,
11056,"PARING OR CUTTING OF BENIGN HYPERKERATOTIC LESION (EG, CORN OR CALLUS); TWO TO FOUR LESIONS",,,
11057,"PARING OR CUTTING OF BENIGN HYPERKERATOTIC LESION (EG, CORN OR CALLUS); MORE THAN FOUR LESIONS",,,
