icd,description,version,,
001.0,Cholera due to vibrio cholerae,9,,
001.1,Cholera due to vibrio cholerae el tor,9,,
001.9,"Cholera, unspecified",9,,
002.0,Typhoid fever,9,,
002.1,Paratyphoid fever A,9,,
002.2,Paratyphoid fever B,9,,
002.3,Paratyphoid fever C,9,,
024,Glanders,9,,
025,Melioidosis,9,,
002.9,"Paratyphoid fever, unspecified",9,,
003.0,Salmonella gastroenteritis,9,,
003.1,Salmonella septicemia,9,,
035,Erysipelas,9,,
037,Tetanus,9,,
003.8,Other specified salmonella infections,9,,
003.9,"Salmonella infection, unspecified",9,,
004.0,Shigella dysenteriae,9,,
004.1,Shigella flexneri,9,,
042,Human immunodeficiency virus [HIV] disease,9,,
004.2,Shigella boydii,9,,
004.3,Shigella sonnei,9,,
048,Other enterovirus diseases of central nervous system,9,,
004.8,Other specified shigella infections,9,,
004.9,"Shigellosis, unspecified",9,,
005.0,Staphylococcal food poisoning,9,,
005.1,Botulism food poisoning,9,,
005.2,Food poisoning due to Clostridium perfringens (C. welchii),9,,
005.3,Food poisoning due to other Clostridia,9,,
005.4,Food poisoning due to Vibrio parahaemolyticus,9,,
005.9,"Food poisoning, unspecified",9,,
006.0,Acute amebic dysentery without mention of abscess,9,,
061,Dengue,9,,
006.1,Chronic intestinal amebiasis without mention of abscess,9,,
006.2,Amebic nondysenteric colitis,9,,
006.3,Amebic liver abscess,9,,
064,Viral encephalitis transmitted by other and unspecified arthropods,9,,
006.4,Amebic lung abscess,9,,
006.5,Amebic brain abscess,9,,
006.6,Amebic skin ulceration,9,,
006.8,Amebic infection of other sites,9,,
006.9,"Amebiasis, unspecified",9,,
007.0,Balantidiasis,9,,
071,Rabies,9,,
007.1,Giardiasis,9,,
007.2,Coccidiosis,9,,
007.3,Intestinal trichomoniasis,9,,
007.4,Cryptosporidiosis,9,,
075,Infectious mononucleosis,9,,
007.5,Cyclosporiasis,9,,
007.8,Other specified protozoal intestinal diseases,9,,
007.9,Unspecified protozoal intestinal disease,9,,
